time/time_elapsed,time/total_timesteps,experiment_details/batch_size,experiment_details/timestamp,time/fps,time/iterations,experiment_details/n_steps,experiment_details/learning_rate,train/approx_kl,train/value_loss,train/clip_fraction,train/n_updates,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/loss,train/clip_range,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,eval/mean_reward,eval/mean_ep_length
7889,39936,,,5,39,,,0.0151228085,6.288294264966687e-07,0.0623046875,380,-1.2748467065393925,0.0003,-0.003566886900807731,-0.0352187342941761,0.2,0.03613680601119995,0.007770666666666666,2496.9333333333334,,
,40000,,,,,,,0.010497889,2.8496406127898054e-06,0.055078125,390,-1.2835557922720908,0.0003,-0.0034916878823423756,0.007886577397584915,0.2,-0.2367161512374878,,,0.0,2500.0
9255,40960,,,4,40,,,,,,,,,,,,,0.007285,2497.125,,
9361,41984,,,4,41,,,0.017324531,6.588699400511543e-08,0.17548828125,400,-1.2400597922503949,0.0003,-0.01013605396146886,0.006325912196189165,0.2,-0.2584277391433716,0.007285,2497.125,,
9465,43008,,,4,42,,,0.01169271,1.5156053927156687e-07,0.11435546875,410,-1.2267313450574875,0.0003,-0.008298253147222568,0.008434299379587173,0.2,-0.49125003814697266,0.006856470588235294,2497.294117647059,,
9571,44032,,,4,43,,,0.016541421,7.228551902360714e-06,0.13134765625,420,-1.2992107778787614,0.0003,-0.01002495403517969,0.02793794311583042,0.2,0.09085041284561157,0.006856470588235294,2497.294117647059,,
9677,45056,,,4,44,,,0.008519171,4.710127069815217e-06,0.0521484375,430,-1.2752664513885974,0.0003,-0.0034398217801935973,0.004413334187120199,0.2,-0.39843273162841797,0.006475555555555556,2497.4444444444443,,
9783,46080,,,4,45,,,0.010189285,6.283219091468562e-06,0.07919921875,440,-1.2903164900839328,0.0003,-0.005487179811461828,0.00039721664506942034,0.2,-0.46967005729675293,0.006475555555555556,2497.4444444444443,,
9889,47104,,,4,46,,,0.014427049,0.00013911661238585893,0.047265625,450,-1.312621746957302,0.0003,-0.0043627447434118945,-0.008337854407727718,0.2,-0.6027522087097168,0.006475555555555556,2497.4444444444443,,
9996,48128,,,4,47,,,0.012144494,1.0328917459667686e-07,0.09931640625,460,-1.3219384975731372,0.0003,-0.005340576777234674,0.002322548534721136,0.2,-0.3026686906814575,0.006134736842105263,2497.5789473684213,,
